3.8	4	1
3	3	2.75
1.8	2.8	3.375
1.4	1	2.75
1.8	2.2	2
1.6	1.6	1.875
3	3.8	2.25
2.6	2.2	2
1	2.8	2.625
2.2	2	1.75
2.4	2.4	2
2.6	3	1.5
2.8	2.4	1.5
3.6	1.6	3.125
1.8	1.8	2.75
2.2	2.4	2.25
2.2	1.8	2
1.8	2.4	2
1.6	2.4	2.875
2.2	3	2.25
3.8	2.6	1.875
4.2	3	1.714286
1.6	2	2.625
1.4	2.4	2
2.6	2	3
2.02694812863095	3	2.83762872856336
2.2	2	2
1.8	2	1.5
2.8	2.8	2.75
2	3.6	1
3.8	4	1
2.4	2.6	2
3.4	4	1.125
4.8	4	1
2.4	2.2	2.875
2.8	3	2.25
1.8	3	3.625
3.50639746588013	4.69740907205173	0.451879318330136
1.6	2.4	2.125
1	4	1.5
1	2	2
3.2	3.4	2.25
2.4	2	2.25
2.4	3	2.125
2.6	3	2
1.4	2.6	2.25
2.8	3	2.285714
3	3.4	1.375
2	3.4	1.5
2.6	2.8	1.666667
1.8	1.6	2.285714
2.6	3.4	1.75
2.8	3.2	1.125
2.4	2.8	3
3.2	3	2.25
1	2.6	2.375
3.2	3	2.625
4	2.8	3
3	3	2.625
3	4	1
2.4	3	2.875
2.8	2.6	1.5
3	3	2.125
2.6	4	1.75
3	2	2
2.2	2.4	2
3.4	4	2
3.2	3	1.875
3.4	3.75	2.142857
2	2	2.25
3.03375758270088	3.68565943525934	1.35038697045017
3.4	3.8	1.25
2.8	4	2
2.55469410069081	2.09542112205384	2.81924971310259
2	3	1.75
2.6	3	2
3.5	2.8	3.285714
2.2	3	2
1	2.6	1.857143
3	3	1.5
2.2	1	1.25
3.8	3.6	2
2	3	2
3	3	2
3.4	3	1.25
2	3	2
1	2.2	2.285714
1	1.2	3.5
2.4	3.6	1.875
1	2	3
1	1	4
2.6	2.2	1.875
1.24513474470556	1.76093103558894	2.77054843918795
4	3	1
2.50977369639663	2.4	1.86272064300832
3.8	3.6	1
2.8	4	2
3	4	1
3	3	1.875
3	2.6	2
